
|   double|   double|  double|double|
|      deg|      deg|        |      |
|     null|     null|    null|  null|
 29.038361 61.944209      1.0    1.0 
 30.096404 62.588069      1.0    1.0 
 30.457545 62.591185      1.0    1.0 
 29.410959  62.42842      1.0    1.0 
 29.126115 62.233847      1.0    1.0 
 30.150356 62.594418      1.0    1.0 
 30.507668 62.590796      1.0    1.0 
 29.035995 62.085437      1.0    1.0 
 30.543403 62.588275      1.0    1.0 
 29.072952 62.170415      1.0    1.0 
 29.108004 61.790151      1.0    1.0 
 29.102835 61.793338      1.0    1.0 
 29.350302 62.406126      1.0    1.0 
 29.083978 61.817733      1.0    1.0 
 30.590878 62.585592      1.0    1.0 
 29.689676 62.530136      1.0    1.0 
 30.252766 62.601412      1.0    1.0 
 29.237716 62.341033      1.0    1.0 
 29.025103 61.942045      1.0    1.0 
 29.027375 62.079109      1.0    1.0 
 29.057516 62.155332      1.0    1.0 
 29.016045  62.01671      1.0    1.0 
 30.601194 62.586525      1.0    1.0 
 29.828098 62.561666      1.0    1.0 
 29.033953 61.899204      1.0    1.0 
 29.043927 62.135742      1.0    1.0 
 29.147661 62.275327      1.0    1.0 
 29.036989 62.125886      1.0    1.0 
 29.123752 62.252523      1.0    1.0 
 29.007886 62.000934      1.0    1.0 
 29.785007 62.558759      1.0    1.0 
 30.590566 62.593478      1.0    1.0 
 30.520672  62.60005      1.0    1.0 
 29.040232 61.861042      1.0    1.0 
 30.281577 62.608896      1.0    1.0 
 29.629482 62.522943      1.0    1.0 
  30.03694 62.598038      1.0    1.0 
 30.280616 62.610468      1.0    1.0 
 30.223474 62.609596      1.0    1.0 
 30.135367 62.605892      1.0    1.0 
 28.999264 62.034432      1.0    1.0 
 28.996457 62.011577      1.0    1.0 
 30.604008 62.595461      1.0    1.0 
 29.001138 61.950183      1.0    1.0 
 29.920436 62.586881      1.0    1.0 
 29.560217  62.50719      1.0    1.0 
 29.101304 62.248617      1.0    1.0 
 30.526719 62.604649      1.0    1.0 
 29.002811 62.097312      1.0    1.0 
 29.519782 62.498263      1.0    1.0 
 29.479098 62.484357      1.0    1.0 
 30.327982 62.616967      1.0    1.0 
 29.445249 62.471721      1.0    1.0 
 29.656038 62.540698      1.0    1.0 
 29.334948 62.424137      1.0    1.0 
